Route_ID,Origin,Destination,Distance_km,Traffic_Level,Fuel_Consumption_L,Transportation_Cost,Delivery_Time_Min,On_Time_Delivery,Vehicle_Type,Weather_Condition,Road_Condition,Real_Time_Adjustment
R1,Warehouse_C,City_Z,199.85,Low,50.97,3663.49,119.6,Yes,Truck,Snowy,Good,Yes
R2,Warehouse_D,City_Z,239.35,Low,75.18,963.33,88.93,Yes,Van,Rainy,Good,No
R3,Warehouse_A,City_Z,428.0,Low,57.14,1765.87,616.07,No,Bike,Foggy,Poor,No
R4,Warehouse_C,City_Z,173.3,Medium,10.16,3333.24,967.13,Yes,EV,Foggy,Good,No
R5,Warehouse_C,City_W,435.48,Medium,20.19,2436.34,517.64,Yes,Bike,Clear,Poor,Yes
R6,Warehouse_D,City_Z,48.63,High,23.49,3705.93,79.97,Yes,EV,Clear,Average,Yes
R7,Warehouse_A,City_X,389.52,Low,27.27,4807.98,244.58,No,Truck,Rainy,Poor,Yes
R8,Warehouse_A,City_Z,424.54,Medium,57.41,626.91,267.45,Yes,EV,Rainy,Average,Yes
R9,Warehouse_C,City_W,95.0,Medium,51.39,3562.36,357.72,Yes,Bike,Foggy,Average,Yes
R10,Warehouse_B,City_Z,218.02,Medium,21.91,1190.2,72.3,Yes,Van,Snowy,Average,No
R11,Warehouse_C,City_X,86.92,High,8.62,2101.66,907.75,Yes,Bike,Snowy,Good,Yes
R12,Warehouse_C,City_W,354.77,Medium,18.8,212.67,530.1,No,Van,Rainy,Good,Yes
R13,Warehouse_C,City_W,270.0,High,98.47,722.74,680.8,No,Van,Rainy,Poor,Yes
R14,Warehouse_C,City_X,319.49,Low,47.92,1632.9,95.16,Yes,Van,Rainy,Average,Yes
R15,Warehouse_D,City_X,102.26,Medium,87.0,1742.83,82.49,Yes,EV,Clear,Poor,No
R16,Warehouse_A,City_X,109.81,Low,85.18,4502.95,598.87,No,Truck,Snowy,Average,No
R17,Warehouse_D,City_X,25.54,Low,52.13,3721.97,890.68,Yes,Truck,Rainy,Average,Yes
R18,Warehouse_D,City_X,164.42,Low,71.26,4862.31,542.63,Yes,Truck,Rainy,Poor,No
R19,Warehouse_D,City_W,282.07,Low,20.89,3015.4,881.48,Yes,Van,Clear,Poor,Yes
R20,Warehouse_C,City_W,429.68,Low,69.46,1246.48,816.66,Yes,EV,Rainy,Poor,Yes
R21,Warehouse_B,City_Z,335.13,Low,28.69,1671.89,103.58,No,EV,Snowy,Poor,Yes
R22,Warehouse_A,City_Z,220.52,Low,83.54,1633.19,225.9,Yes,EV,Clear,Good,No
R23,Warehouse_B,City_Y,476.79,High,10.2,1666.15,667.98,Yes,Bike,Rainy,Average,Yes
R24,Warehouse_D,City_Z,361.03,Low,77.77,3381.17,460.2,Yes,EV,Snowy,Average,Yes
